TreeID,StandID,Plot,Tag,PrevPSPTag,PrevHOM,PrevDBH,PrevMS,PrevRT,PrevLA,Species,PrevStatus,PrevComments,gx,gy,PrevMainStem,PrevMulti,CrownScorch,CharUp,CharSide1,CharSide2,CharDown,PrevYear
200637,RS31,0006,200637,,137,17.2,,,,ACMA,1,,0.849,165.562,200635,Y,,,,,,
200500,RS31,0008,200500,,137,13.5,,,,TSHE,1,,3.264,209.268,200500,N,,,,,,
200593,RS31,0000,200593,,137,1.7,,,,TSHE,1,,4.806,7.178,200593,N,,,,,,
100933,RS31,0008,100933,,137,1.6,,,,RHMA,1,,12.177,222.46,100933,Y,,,,,,
100949,RS31,0008,100949,,137,1,,,,RHMA,1,,13.621,216.736,100948,Y,,,,,,
100901,RS31,0009,100901,,137,1.7,,,,RHMA,1,,10.961,228.184,101500,Y,,,,,,
200770,RS31,0007,200770,,137,1.4,,,,ACCI,1,2 STEMS,18.996,179.216,200770,Y,,,,,,
101390,RS31,0002,101390,,137,3.8,,,,TSHE,1,,1.404,63.124,101390,N,,,,,,
100883,RS31,0001,100883,,137,31.5,,,,TSHE,1,,23.939,28.852,100883,N,,,,,,
100878,RS31,0001,100878,,137,3.1,,,,TSHE,1,,17.707,28,100878,N,,,,,,
200014,RS31,0004,200014,,137,40,,,,TSHE,1,,24.061,124.114,200014,N,,,,,,
100981,RS31,0008,100981,,137,64.5,,,,TSHE,1,,21.328,203.202,100981,N,,,,,,
100827,RS31,0002,100827,,137,44.3,,,,TSHE,1,,13.514,68.688,100827,N,,,,,,
501048,RS31,0000,501048,,137,1.9,,,,TSHE,1,,5.742,0.008,501048,N,,,,,,
200394,RS31,0006,200394,,137,3.3,,,,ACCI,1,,15.621,156.263,200394,N,,,,,,
200395,RS31,0006,200395,,137,70,,,,PSME,1,,19,152.481,200395,N,,,,,,
100354,RS31,0009,100354,,137,1.3,,,,TSHE,1,,8.106,242.222,100354,N,,,,,,
101160,RS31,0000,101160,,137,1.4,,,,RHMA,1,,6.334,16.148,101160,N,,,,,,
200694,RS31,0000,200694,,137,1.7,,,,THPL,1,,5.032,5.509,200694,N,,,,,,
